    33    58  182721.6-033954   18.45600   -3.66514  2.00E-2  3.30E-2    0.09   0.04  11.8  1.1    1.1    1.0    2.6    0.7    0.6    2.8   4.5  starless            
    34    59  182721.9-030252   18.45610   -3.04783  3.40E-2  4.10E-2    0.14   0.11  11.8  2.4    2.2    1.0    1.5    1.2    0.5    1.0   4.8  starless            
    35    62  182724.1-005007   18.45672   -0.83550  6.60E-2  7.00E-2    0.23   0.05  13.1  0.8    2.4    0.6    0.6    0.9    0.2    0.2   5.6  starless            
    36    64  182731.5-030218   18.45875   -3.03836  2.20E-2  3.30E-2    0.09   0.08  12.0  2.7    1.9    0.9    2.2    1.1    0.6    2.2   4.9  starless            
    37    66  182737.9-035047   18.46055   -3.84642  1.80E-2  3.00E-2    0.04   0.01  25.5  3.4    0.8    0.5    1.3    0.5    0.4    1.6   9.9  starless            
    38    67  182739.2-004354   18.46091   -0.73192  2.10E-2  3.30E-2    0.08   0.05  11.8  1.7    1.5    0.8    2.1    0.9    0.6    2.2   5.4  starless            
    39    69  182743.2-042841   18.46201   -4.47817  1.70E-2  2.80E-2    0.06   0.03  11.5  4.5    1.1    1.0    2.6    0.7    0.8    3.4   5.3  starless            
    40    71  182744.5-035413   18.46237   -3.90372  4.20E-2  4.80E-2    0.13   0.07  14.5  4.5    3.4    0.7    0.9    1.7    0.3    0.5   6.3  starless            
    41    76  182748.7-030928   18.46354   -3.15789  8.30E-2  8.60E-2    0.50   0.25  11.5  4.5    2.2    0.8    0.9    0.7    0.2    0.2   3.3  starless            
    42    78  182751.4-035317   18.46428   -3.88828  2.90E-2  4.00E-2    0.07   0.04  16.9  2.7    0.9    0.5    0.9    0.5    0.3    0.7   8.6  starless            
    43    83  182757.4-033548   18.46597   -3.59681  2.30E-2  3.40E-2    0.09   0.05  11.5  4.5    1.1    1.0    2.0    0.7    0.6    1.9   5.0  starless            
    44    88  182805.4-034021   18.46819   -3.67261  2.00E-2  3.10E-2    0.09   0.04  11.5  4.5    1.2    1.1    2.6    0.7    0.8    2.9   4.5  starless            
    45    91  182808.0-032558   18.46889   -3.43283  3.70E-2  4.40E-2    0.10   0.05  11.5  4.5    1.0    0.6    0.8    0.5    0.3    0.5   7.4  starless            
    46    97  182812.9-034434   18.47027   -3.74294  1.90E-2  3.00E-2    0.08   0.04  11.5  4.5    1.1    1.0    2.5    0.7    0.7    2.9   4.9  starless            
    47    99  182813.2-013718   18.47034   -1.62167  1.80E-2  2.90E-2    0.06   0.03  11.5  4.5    0.9    0.8    2.1    0.6    0.6    2.6   6.2  starless            
    48   101  182814.7-041645   18.47076   -4.27922  3.80E-2  4.60E-2    0.16   0.08  11.5  4.5    1.5    0.9    1.3    0.7    0.4    0.8   4.6  starless            
