    32   326  183017.6-020959   18.50490   -2.16647  1.60E-2  2.80E-2    0.74   0.10  11.9  0.3   17.7   10.9   35.4   11.0    8.4   49.2   0.4  protostellar        
    33   342  183026.0-021041   18.50723   -2.17811  1.10E-2  2.30E-2    0.81   0.10  13.7  0.5   17.0   18.2   73.0   11.3   17.4  139.5   0.3  protostellar        
    34   347  183027.9-021059   18.50777   -2.18306  1.70E-2  2.90E-2    0.55   0.27  14.5  4.5   13.6    7.8   21.6    8.4    6.0   27.4   0.6  protostellar        
    35   349  183028.9-015603   18.50805   -1.93422  1.40E-2  2.70E-2    1.60   0.80  11.5  4.5   22.1   26.0   95.2   14.0   21.1  147.9   0.2  protostellar        
    36   351  183029.2-015650   18.50813   -1.94739  2.90E-2  3.80E-2    1.09   0.13  11.9  0.4   27.0    9.0   15.0   14.9    5.2   11.2   0.5  protostellar        
    37   362  183037.5-020856   18.51043   -2.14897  5.50E-2  6.00E-2    0.36   0.05  15.5  0.6    4.6    1.2    1.4    2.0    0.4    0.5   3.1  protostellar        
    38   385  183047.3-015654   18.51314   -1.94833  1.90E-2  3.00E-2    0.46   0.23  11.5  4.5    7.6    6.2   15.4    4.7    4.6   18.0   0.8  protostellar        
    39   388  183049.5-015603   18.51377   -1.93433  2.90E-2  3.70E-2    1.16   0.10  12.2  0.3   25.2   10.0   16.1   14.1    5.9   12.1   0.5  protostellar        
    40   411  183100.2-020152   18.51674   -2.03114  1.70E-2  2.90E-2    0.03   0.01  22.4  2.0    1.3    0.4    1.3    0.8    0.3    1.6  11.0  protostellar        
    41   412  183100.2-015959   18.51674   -1.99989  2.10E-2  3.10E-2    0.10   0.02  21.7  1.3    2.4    1.2    2.9    1.4    0.9    3.1   3.9  protostellar        
    42   431  183109.7-020622   18.51939   -2.10619  1.40E-2  2.60E-2    2.88   0.57  13.7  1.0   63.5   49.3  166.1   40.6   41.0  253.9   0.1  protostellar        
